Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8/23,Friday,18.70,Uber,Travel,Debit,Need
8/23,Friday,42.70,Target,Entertainment and Recreation,Debit,Need
8/23,Friday,12.70,Starbucks,Entertainment and Recreation,Debit,Want
8/24,Saturday,135.40,Sushi,Food,Debit,Want
8/24,Saturday,109.77,Clothes,Entertainment and Recreation,Debit,Want
8/24,Saturday,13.84,Gelato,Food,Debit,Want
8/27,Tuesday,120,Nails,Entertainment and Recreation,Cash,Want
8/29,Thursday,184,Concert Tickets,Entertainment and Recreation,Debit,Want
8/30,Friday,22.25,In N Out,Food,Debit,Need
8/31,Saturday,40.47,Uber ,Travel,Debit,Need
9/2,Monday,87.90,Sephora,Entertainment and Recreation,Debit,Need
9/2,Monday,82.25,Target,Entertainment and Recreation,Debit,Need
