Date,Open,High,Low,Close,Adj Close,Volume,Day
"Sep 18, 2024",397.4,408.74,397.38,402.51,402.51,"1,077,364",2516
"Sep 17, 2024",390.68,399.87,390,397,397,"1,407,200",2515
"Sep 16, 2024",377.51,392.05,377.51,389.29,389.29,"1,144,900",2514
"Sep 13, 2024",375.99,382.84,375,378.34,378.34,"762,400",2513
"Sep 12, 2024",373,377.02,366.01,373.08,373.08,"735,000",2512
"Sep 11, 2024",375.07,375.07,367.51,372.3,372.3,"727,600",2511
"Sep 10, 2024",377.53,377.53,356.02,373.5,373.5,"2,032,500",2510
"Sep 9, 2024",368.25,383.5,368,381.57,381.57,"1,498,300",2509
"Sep 6, 2024",364.43,369.13,361.82,367.59,367.59,"1,077,300",2508
"Sep 5, 2024",361.97,366.54,361,363.78,363.78,"885,300",2507
"Sep 4, 2024",357,365.89,356.68,359.92,359.92,"1,155,000",2506
"Sep 3, 2024",352,367.58,350.1,358.8,358.8,"2,316,300",2505
"Aug 30, 2024",344.09,361.43,342,352.84,352.84,"4,999,800",2504
"Aug 29, 2024",368.53,375.61,367.21,367.58,367.58,"2,271,200",2503
"Aug 28, 2024",368.26,376.7,366.74,366.82,366.82,"1,331,000",2502
"Aug 27, 2024",372.47,373.49,367.93,371.35,371.35,"972,400",2501
"Aug 26, 2024",377.33,381.17,372.75,374.98,374.98,"878,200",2500
"Aug 23, 2024",372.69,379.82,372.29,378.65,378.65,"987,900",2499
"Aug 22, 2024",382.13,383.25,373,374.26,374.26,"1,139,100",2498
"Aug 21, 2024",374.74,386.04,374.74,380.92,380.92,"1,529,300",2497
"Aug 20, 2024",376.34,378.1,368.84,369.05,369.05,"1,545,400",2496
"Aug 19, 2024",382.51,392.61,376.1,377.06,377.06,"2,648,600",2495
"Aug 16, 2024",368,383.71,367.02,377.23,377.23,"2,942,800",2494
"Aug 15, 2024",371.64,373,358.35,365.8,365.8,"4,424,900",2493
"Aug 14, 2024",330.04,332.92,325,329.05,329.05,"970,800",2492
"Aug 13, 2024",320.35,333.13,318.27,331.56,331.56,"1,059,400",2491
"Aug 12, 2024",321.25,326.39,318.17,320.55,320.55,"843,600",2490
"Aug 9, 2024",325.86,327.78,321.82,322.17,322.17,"919,600",2489
"Aug 8, 2024",322.25,330.71,322.18,327.11,327.11,"749,900",2488
"Aug 7, 2024",327.12,332.5,320.79,321.31,321.31,"785,700",2487
"Aug 6, 2024",327.26,331.15,325.84,326.42,326.42,"847,200",2486
"Aug 5, 2024",333.47,336.4,326.93,327.28,327.28,"1,076,600",2485
"Aug 2, 2024",345.64,346.51,338.11,341.01,341.01,"959,300",2484
"Aug 1, 2024",364.64,364.87,345.33,349.95,349.95,"1,216,500",2483
"Jul 31, 2024",369.76,373.05,364.66,364.89,364.89,"693,000",2482
"Jul 30, 2024",364,368.39,361.4,367.53,367.53,"893,900",2481
"Jul 29, 2024",371.8,372.09,362.1,366.61,366.61,"1,079,100",2480
"Jul 26, 2024",364.13,372.37,362.49,369.46,369.46,"1,022,900",2479
"Jul 25, 2024",372,372.84,363.01,363.3,363.3,"1,164,300",2478
"Jul 24, 2024",379.5,381,364.67,369.61,369.61,"1,507,900",2477
"Jul 23, 2024",389.87,395.67,388.98,389.29,389.29,"557,400",2476
"Jul 22, 2024",390.92,392.45,382.21,391.67,391.67,"596,800",2475
"Jul 19, 2024",394.6,394.68,387,390.92,390.92,"897,300",2474
"Jul 18, 2024",396.99,402.08,390.64,393.12,393.12,"786,200",2473
"Jul 17, 2024",407.65,407.86,398.22,400.47,400.47,"737,500",2472
"Jul 16, 2024",399.46,412.64,396.28,409.7,409.7,"763,400",2471
"Jul 15, 2024",404,406.48,393.01,395.16,395.16,"1,148,700",2470
"Jul 12, 2024",404.63,413.88,401.08,412.94,412.94,"845,600",2469
"Jul 11, 2024",396.25,403.7,395,400.82,400.82,"627,500",2468
"Jul 10, 2024",395.03,398.46,392.84,396.03,396.03,"631,100",2467
"Jul 9, 2024",395.38,398.59,391.41,396.01,396.01,"644,000",2466
"Jul 8, 2024",392.27,403.26,391.24,395.82,395.82,"912,300",2465
"Jul 5, 2024",390,390.67,384.89,390,390,"550,200",2464
"Jul 3, 2024",393,396.99,388,389.67,389.67,"431,400",2463
"Jul 2, 2024",384.5,394.49,383.98,393.02,393.02,"749,500",2462
"Jul 1, 2024",385.87,390.5,381.96,384.41,384.41,"862,000",2461
"Jun 28, 2024",385.98,388.02,382.46,385.87,385.87,"818,000",2460
"Jun 27, 2024",389,391.43,383.1,385.95,385.95,"932,700",2459
"Jun 26, 2024",388,390.34,386.33,387.88,387.88,"489,300",2458
"Jun 25, 2024",390.2,392.44,386.12,388.19,388.19,"595,200",2457
"Jun 24, 2024",383.85,394.82,383,389.72,389.72,"834,100",2456
"Jun 21, 2024",380.8,385.67,379.64,383.85,383.85,"1,348,400",2455
"Jun 20, 2024",381.85,384.77,376.39,378.4,378.4,"995,300",2454
"Jun 18, 2024",388,390.63,382.28,382.59,382.59,"778,600",2453
"Jun 17, 2024",390.11,391.5,385.4,389.15,389.15,"670,900",2452
"Jun 14, 2024",395.25,396.71,388.5,390.82,390.82,"781,200",2451
"Jun 13, 2024",393,399.18,392.43,396.39,396.39,"981,900",2450
"Jun 12, 2024",389.75,394.56,386.25,390.12,390.12,"916,500",2449
"Jun 11, 2024",381.99,387.82,380.24,387.69,387.69,"965,700",2448
"Jun 10, 2024",381.55,382.66,376.56,382.5,382.5,"793,400",2447
